SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  30
DISK1_MAX :  50
DISK2_MIN :  30
DISK2_MAX :  50
18467 Job 666  finishes at Disk 1
18474 Job 1277 arrives
18478 Job 388  finishes at CPU
18482 Job 668  finishes at Disk 2
18484 Job 1278 arrives
18493 Job 734  finishes at CPU
18495 Job 1279 arrives
18498 Job 667  finishes at Disk 1
18510 Job 1280 arrives
18511 Job 387  finishes at CPU
18513 Job 669  finishes at Disk 2
18523 Job 1281 arrives
18526 Job 735  finishes at CPU
18536 Job 390  finishes at CPU
18536 Job 390  finishes
18539 Job 184  finishes at Disk 1
18540 Job 1282 arrives
18551 Job 736  finishes at CPU
18552 Job 185  finishes at Disk 2
18554 Job 1283 arrives
18566 Job 737  finishes at CPU
18566 Job 737  finishes
18569 Job 1284 arrives
18581 Job 56   finishes at CPU
18585 Job 1285 arrives
18586 Job 672  finishes at Disk 1
18592 Job 738  finishes at CPU
18594 Job 671  finishes at Disk 2
18604 Job 1286 arrives
18606 Job 392  finishes at CPU
18617 Job 1287 arrives
18622 Job 23   finishes at Disk 1
18625 Job 739  finishes at CPU
18625 Job 739  finishes
18631 Job 1288 arrives
18636 Job 356  finishes at Disk 2
18642 Job 1289 arrives
18643 Job 389  finishes at CPU
18655 Job 1290 arrives
18658 Job 740  finishes at CPU
18666 Job 674  finishes at Disk 2
18667 Job 354  finishes at Disk 1
18667 Job 1291 arrives
18675 Job 741  finishes at CPU
18685 Job 1292 arrives
18693 Job 742  finishes at CPU
18693 Job 742  finishes
18697 Job 1293 arrives
18711 Job 677  finishes at Disk 2
18711 Job 1294 arrives
18712 Job 391  finishes at CPU
18716 Job 676  finishes at Disk 1
18727 Job 1295 arrives
18731 Job 205  finishes at CPU
18743 Job 1296 arrives
18748 Job 743  finishes at CPU
18751 Job 678  finishes at Disk 2
18758 Job 744  finishes at CPU
18758 Job 744  finishes
18760 Job 1297 arrives
18764 Job 11   finishes at Disk 1
18771 Job 393  finishes at CPU
18775 Job 1298 arrives
18783 Job 206  finishes at CPU
18783 Job 206  finishes
18785 Job 1299 arrives
18798 Job 357  finishes at Disk 2
18798 Job 745  finishes at CPU
18800 Job 1300 arrives
18801 Job 186  finishes at Disk 1
18808 Job 746  finishes at CPU
18817 Job 1301 arrives
18822 Job 747  finishes at CPU
18830 Job 1302 arrives
18832 Job 680  finishes at Disk 1
18832 Job 396  finishes at CPU
18833 Job 188  finishes at Disk 2
18844 Job 1303 arrives
18850 Job 395  finishes at CPU
18857 Job 1304 arrives
18861 Job 748  finishes at CPU
18867 Job 681  finishes at Disk 1
18867 Job 1305 arrives
18870 Job 682  finishes at Disk 2
18871 Job 749  finishes at CPU
18880 Job 1306 arrives
18882 Job 207  finishes at CPU
18893 Job 110  finishes at CPU
18898 Job 1307 arrives
18901 Job 358  finishes at Disk 1
18912 Job 750  finishes at CPU
18912 Job 750  finishes
18917 Job 189  finishes at Disk 2
18917 Job 1308 arrives
18926 Job 751  finishes at CPU
18936 Job 1309 arrives
18938 Job 752  finishes at CPU
18940 Job 684  finishes at Disk 1
18953 Job 364  finishes at Disk 2
18953 Job 1310 arrives
18956 Job 398  finishes at CPU
18969 Job 397  finishes at CPU
18972 Job 1311 arrives
18981 Job 753  finishes at CPU
18981 Job 753  finishes
18983 Job 1312 arrives
18988 Job 359  finishes at Disk 1
18996 Job 754  finishes at CPU
18997 Job 686  finishes at Disk 2
19001 Job 1313 arrives
19009 Job 755  finishes at CPU
19013 Job 1314 arrives
19024 Job 208  finishes at CPU
19029 Job 1315 arrives
19035 Job 687  finishes at Disk 1
19036 Job 399  finishes at CPU
19037 Job 688  finishes at Disk 2
19039 Job 1316 arrives
19051 Job 1317 arrives
19054 Job 756  finishes at CPU
19064 Job 1318 arrives
19071 Job 757  finishes at CPU
19079 Job 52   finishes at Disk 1
19081 Job 362  finishes at Disk 2
19081 Job 1319 arrives
19086 Job 400  finishes at CPU
19086 Job 400  finishes
19099 Job 1320 arrives
19100 Job 758  finishes at CPU
19100 Job 758  finishes
19112 Job 401  finishes at CPU
19113 Job 689  finishes at Disk 1
19115 Job 365  finishes at Disk 2
19118 Job 1321 arrives
19124 Job 759  finishes at CPU
19128 Job 1322 arrives
19134 Job 760  finishes at CPU
19146 Job 691  finishes at Disk 2
19146 Job 1323 arrives
19148 Job 111  finishes at CPU
19150 Job 690  finishes at Disk 1
19162 Job 1324 arrives
19164 Job 209  finishes at CPU
19174 Job 761  finishes at CPU
19178 Job 1325 arrives
19184 Job 692  finishes at Disk 1
19190 Job 1326 arrives
19191 Job 762  finishes at CPU
19191 Job 762  finishes
19194 Job 49   finishes at Disk 2
19201 Job 1327 arrives
19202 Job 402  finishes at CPU
19215 Job 367  finishes at Disk 1
19215 Job 763  finishes at CPU
19220 Job 1328 arrives
19225 Job 694  finishes at Disk 2
19225 Job 764  finishes at CPU
19231 Job 1329 arrives
19237 Job 403  finishes at CPU
19237 Job 403  finishes
19250 Job 1330 arrives
19252 Job 693  finishes at Disk 1
19255 Job 369  finishes at Disk 2
19256 Job 765  finishes at CPU
19269 Job 1331 arrives
19271 Job 766  finishes at CPU
19271 Job 766  finishes
19280 Job 1332 arrives
19285 Job 58   finishes at CPU
19291 Job 1333 arrives
19293 Job 99   finishes at Disk 1
19298 Job 697  finishes at Disk 2
19300 Job 767  finishes at CPU
19308 Job 1334 arrives
19315 Job 404  finishes at CPU
19323 Job 1335 arrives
19325 Job 768  finishes at CPU
19325 Job 768  finishes
19334 Job 193  finishes at Disk 2
19340 Job 769  finishes at CPU
19341 Job 1336 arrives
19342 Job 698  finishes at Disk 1
19353 Job 405  finishes at CPU
19357 Job 1337 arrives
19369 Job 770  finishes at CPU
19374 Job 699  finishes at Disk 1
19375 Job 370  finishes at Disk 2
19376 Job 1338 arrives
19379 Job 406  finishes at CPU
19379 Job 406  finishes
19392 Job 1339 arrives
19397 Job 771  finishes at CPU
19404 Job 700  finishes at Disk 1
19407 Job 1340 arrives
19408 Job 701  finishes at Disk 2
19413 Job 772  finishes at CPU
19424 Job 1341 arrives
19430 Job 773  finishes at CPU
19435 Job 1342 arrives
19443 Job 211  finishes at CPU
19446 Job 197  finishes at Disk 1
19450 Job 1343 arrives
19452 Job 194  finishes at Disk 2
19462 Job 407  finishes at CPU
19464 Job 1344 arrives
19473 Job 774  finishes at CPU
19481 Job 1345 arrives
19486 Job 775  finishes at CPU
19489 Job 704  finishes at Disk 1
19493 Job 368  finishes at Disk 2
19493 Job 1346 arrives
19499 Job 776  finishes at CPU
19499 Job 776  finishes
19511 Job 1347 arrives
19511 Job 408  finishes at CPU
19511 Job 408  finishes
19522 Job 705  finishes at Disk 1
19522 Job 1348 arrives
19525 Job 777  finishes at CPU
19532 Job 1349 arrives
19535 Job 198  finishes at Disk 2
19538 Job 212  finishes at CPU
19550 Job 1350 arrives
19552 Job 778  finishes at CPU
19567 Job 1351 arrives
19569 Job 706  finishes at Disk 1
19570 Job 51   finishes at Disk 2
19570 Job 779  finishes at CPU
19570 Job 779  finishes
19582 Job 1352 arrives
19585 Job 112  finishes at CPU
19600 Job 709  finishes at Disk 2
19601 Job 1353 arrives
19604 Job 409  finishes at CPU
19606 Job 708  finishes at Disk 1
19615 Job 1354 arrives
19615 Job 780  finishes at CPU
19629 Job 1355 arrives
19632 Job 781  finishes at CPU
19632 Job 781  finishes
19637 Job 710  finishes at Disk 2
19642 Job 411  finishes at CPU
19644 Job 1356 arrives
19649 Job 53   finishes at Disk 1
19654 Job 1357 arrives
19659 Job 782  finishes at CPU
19666 Job 1358 arrives
19676 Job 783  finishes at CPU
19679 Job 1359 arrives
19686 Job 377  finishes at Disk 2
19687 Job 711  finishes at Disk 1
19693 Job 1360 arrives
19695 Job 412  finishes at CPU
19695 Job 412  finishes
19706 Job 784  finishes at CPU
19711 Job 1361 arrives
19723 Job 785  finishes at CPU
19727 Job 713  finishes at Disk 2
19727 Job 712  finishes at Disk 1
19728 Job 1362 arrives
19733 Job 214  finishes at CPU
19733 Job 214  finishes
19747 Job 1363 arrives
19747 Job 414  finishes at CPU
19757 Job 1364 arrives
19759 Job 786  finishes at CPU
19765 Job 714  finishes at Disk 2
19771 Job 374  finishes at Disk 1
19776 Job 1365 arrives
19778 Job 787  finishes at CPU
19787 Job 1366 arrives
19788 Job 788  finishes at CPU
19797 Job 1367 arrives
19801 Job 116  finishes at CPU
19808 Job 715  finishes at Disk 1
19811 Job 379  finishes at Disk 2
19811 Job 215  finishes at CPU
19812 Job 1368 arrives
19823 Job 789  finishes at CPU
19823 Job 789  finishes
19830 Job 1369 arrives
19833 Job 790  finishes at CPU
19833 Job 790  finishes
19841 Job 1370 arrives
19843 Job 717  finishes at Disk 1
19848 Job 791  finishes at CPU
19848 Job 791  finishes
19850 Job 716  finishes at Disk 2
19854 Job 1371 arrives
19865 Job 415  finishes at CPU
19873 Job 1372 arrives
19876 Job 792  finishes at CPU
19877 Job 718  finishes at Disk 1
19886 Job 1373 arrives
19892 Job 417  finishes at CPU
19896 Job 1374 arrives
19897 Job 104  finishes at Disk 2
19903 Job 793  finishes at CPU
19906 Job 1375 arrives
19918 Job 418  finishes at CPU
19919 Job 1376 arrives
19926 Job 720  finishes at Disk 1
19927 Job 376  finishes at Disk 2
19929 Job 1377 arrives
19936 Job 419  finishes at CPU
19936 Job 419  finishes
19945 Job 1378 arrives
19955 Job 794  finishes at CPU
19961 Job 1379 arrives
19967 Job 721  finishes at Disk 1
19967 Job 795  finishes at CPU
19970 Job 199  finishes at Disk 2
19971 Job 1380 arrives
19981 Job 1381 arrives
19982 Job 217  finishes at CPU
19992 Job 796  finishes at CPU
19996 Job 1382 arrives
20000 Simulation finishes
